               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.052648,            0.013862,            0.031147,             0.38885,             0.80385,             0.52184,             0.20723,            0.038628,           0.0050499,            0.020234,            0.009307,            0.009307,            0.009307
                  37,              0.0595,            0.014616,            0.030429,             0.41223,             0.80555,             0.51633,             0.22855,            0.046211,           0.0051619,            0.019849,           0.0092872,           0.0092872,           0.0092872
                  38,            0.050624,            0.015627,            0.032133,             0.42078,               0.778,             0.60408,              0.4087,            0.030344,           0.0049703,            0.019741,           0.0092674,           0.0092674,           0.0092674
                  39,            0.050696,            0.015442,            0.030447,              0.3312,             0.69816,             0.56569,             0.23825,            0.031232,           0.0053561,             0.01966,           0.0092476,           0.0092476,           0.0092476
                  40,            0.047303,            0.015507,            0.030955,             0.48292,             0.97596,             0.63539,              0.3767,            0.035353,           0.0051795,            0.019602,           0.0092278,           0.0092278,           0.0092278
                  41,            0.045868,            0.012283,            0.030692,             0.42522,             0.85454,             0.62662,             0.48335,            0.028971,           0.0051765,            0.019469,            0.009208,            0.009208,            0.009208
                  42,            0.041912,            0.012998,            0.029326,             0.28419,             0.69643,              0.3804,             0.23995,            0.042125,           0.0049478,            0.019639,           0.0091882,           0.0091882,           0.0091882
                  43,            0.052363,             0.01276,            0.033112,             0.39913,             0.72654,             0.62834,             0.37595,            0.024333,           0.0048743,            0.019473,           0.0091684,           0.0091684,           0.0091684
                  44,            0.044361,            0.012461,            0.030062,              0.3787,               0.875,             0.62964,             0.39312,            0.038535,           0.0047286,            0.019458,           0.0091486,           0.0091486,           0.0091486
                  45,            0.043558,            0.014183,            0.028636,             0.38706,               0.875,             0.59903,             0.34349,            0.031978,           0.0046849,              0.0195,           0.0091288,           0.0091288,           0.0091288
                  46,            0.039939,            0.012818,             0.02817,             0.43181,             0.92857,             0.68068,             0.50194,            0.028471,           0.0046172,            0.019594,            0.009109,            0.009109,            0.009109
                  47,            0.040986,              0.0138,            0.030432,             0.36683,             0.85286,             0.67695,             0.41098,            0.027542,            0.005111,            0.019817,           0.0090892,           0.0090892,           0.0090892
                  48,            0.048362,            0.011982,            0.028892,             0.41463,             0.94643,              0.6999,             0.48828,            0.026145,           0.0046435,            0.019634,           0.0090694,           0.0090694,           0.0090694
                  49,            0.036367,             0.01305,            0.030522,             0.39713,             0.89286,             0.71341,             0.32205,            0.031067,           0.0048341,            0.019416,           0.0090496,           0.0090496,           0.0090496
                  50,            0.046267,            0.011131,            0.030738,             0.49483,             0.96429,             0.72606,             0.44027,            0.030838,           0.0046992,            0.019303,           0.0090298,           0.0090298,           0.0090298
                  51,               0.039,            0.012072,            0.029477,             0.40345,             0.96429,             0.67071,             0.42071,            0.023437,           0.0047039,            0.019032,             0.00901,             0.00901,             0.00901
                  52,            0.043411,             0.01206,            0.030265,             0.54759,             0.92857,             0.73922,             0.46032,            0.026705,           0.0046099,            0.018945,           0.0089902,           0.0089902,           0.0089902
                  53,            0.038249,            0.011426,            0.029434,             0.53537,             0.92857,             0.75398,             0.37314,            0.028585,           0.0048214,            0.018863,           0.0089704,           0.0089704,           0.0089704
                  54,            0.045954,            0.011958,            0.029476,             0.55236,             0.91071,             0.76537,             0.48044,            0.021348,            0.004398,            0.018737,           0.0089506,           0.0089506,           0.0089506
                  55,            0.035074,            0.010751,            0.030808,             0.58903,             0.91071,             0.78415,             0.63236,            0.024495,           0.0046609,             0.01864,           0.0089308,           0.0089308,           0.0089308
                  56,             0.03995,            0.011853,            0.029217,             0.60633,             0.91071,             0.83036,             0.68403,            0.014326,           0.0043247,            0.018552,            0.008911,            0.008911,            0.008911
                  57,            0.033737,             0.01221,            0.030091,             0.60182,             0.94643,             0.85234,             0.51592,            0.032822,           0.0048413,            0.018507,           0.0088912,           0.0088912,           0.0088912
                  58,            0.040505,            0.011878,            0.029792,             0.60086,             0.92857,              0.8556,             0.51144,             0.03644,           0.0045145,            0.018023,           0.0088714,           0.0088714,           0.0088714
                  59,            0.036088,            0.012445,            0.026737,             0.65353,             0.94643,             0.89234,             0.64136,            0.021272,           0.0041319,            0.017772,           0.0088516,           0.0088516,           0.0088516
                  60,            0.033513,            0.012697,            0.029797,             0.58725,             0.85887,             0.78552,             0.39409,             0.02621,           0.0041802,            0.017485,           0.0088318,           0.0088318,           0.0088318
                  61,            0.040361,            0.012294,            0.029092,             0.56161,             0.91244,             0.75664,             0.58387,            0.019168,           0.0039346,            0.017355,            0.008812,            0.008812,            0.008812
                  62,            0.030153,            0.010553,            0.028742,             0.52637,             0.80181,             0.69354,             0.40886,            0.033165,           0.0043758,            0.016921,           0.0087922,           0.0087922,           0.0087922
                  63,             0.04288,            0.011986,            0.028916,             0.54132,             0.82316,             0.72967,             0.53706,            0.019224,           0.0041792,            0.016542,           0.0087724,           0.0087724,           0.0087724
                  64,             0.03632,            0.012329,             0.02996,             0.79568,             0.89459,             0.90812,             0.70689,            0.017446,           0.0040326,            0.016171,           0.0087526,           0.0087526,           0.0087526
                  65,             0.03337,            0.010069,            0.027786,             0.53078,             0.80703,             0.67041,             0.32085,            0.033075,           0.0040865,            0.015753,           0.0087328,           0.0087328,           0.0087328
                  66,            0.035937,            0.010321,            0.027909,             0.78305,             0.90569,             0.92044,             0.67468,            0.014924,           0.0039243,            0.015316,            0.008713,            0.008713,            0.008713
                  67,            0.026592,           0.0094925,            0.029052,             0.60718,             0.87172,             0.89128,             0.50664,            0.029436,           0.0041837,            0.015017,           0.0086932,           0.0086932,           0.0086932
                  68,            0.037024,              0.0116,            0.027946,             0.83025,             0.84043,             0.92987,             0.68572,            0.019197,           0.0039208,            0.014605,           0.0086734,           0.0086734,           0.0086734
                  69,            0.034632,            0.010948,            0.028767,             0.87793,              0.9095,             0.94477,             0.66032,            0.022613,           0.0041787,            0.014236,           0.0086536,           0.0086536,           0.0086536
                  70,            0.032329,            0.010305,            0.027758,             0.83368,             0.82668,             0.89988,             0.48228,            0.023764,           0.0042066,            0.013707,           0.0086338,           0.0086338,           0.0086338
                  71,            0.034578,            0.009741,            0.027244,             0.85149,             0.82459,             0.92699,             0.71515,            0.019835,           0.0041481,            0.013267,            0.008614,            0.008614,            0.008614
                  72,            0.038058,           0.0099462,            0.028537,             0.89369,              0.8825,             0.95668,             0.71565,            0.016289,           0.0040777,            0.012961,           0.0085942,           0.0085942,           0.0085942
                  73,            0.033617,            0.010949,            0.026615,             0.81574,             0.86147,              0.9265,             0.74053,            0.018074,           0.0041636,            0.012373,           0.0085744,           0.0085744,           0.0085744
                  74,            0.037046,           0.0092016,            0.027053,             0.89917,             0.91666,             0.95105,             0.66264,             0.01789,           0.0038745,            0.011953,           0.0085546,           0.0085546,           0.0085546
